Title,Author,Average Rating,Rating,Year Published,Edition
Statistical Data Analysis,Glen Cowan,4.21,29,1998,6
"Random Signals: Detection, Estimation and Data Analysis",K. Sam Shanmugan,3.00,7,1988,8
Microsoft Office Excel 2007: Data Analysis and Business Modeling,Wayne L. Winston,4.05,38,2007,8
"Hands-On Data Analysis with Pandas: Efficiently perform data collection, wrangling, analysis, and visualization using Python",Stefanie Molin,4.20,10,0,2
"Data Analysis for Business, Economics, and Policy",Gábor Békés,4.67,9,0,12
Excel Importing & Exporting Text Data: Quickly Turn Raw Data Into Excel Tables,Scott Hartshorn,4.00,25,0,1
"Data Analysis: A Model Comparison Approach, Second Edition",Charles M. Judd,4.22,23,1989,14
"Python Crash Course for Data Analysis: A Complete Beginner Guide for Python Coding, NumPy, Pandas and Data Visualization",AI Publishing,4.00,3,0,2
Data Analysis with SPSS: A First Course in Applied Statistics,Stephen A. Sweet,3.42,19,1998,8
Excel Pivot Tables: A Visual Introduction For Beginners (Data Analysis With Excel Book 5),Scott Hartshorn,3.87,15,0,1
Data Analysis /Optimization / Simulation Modelling with Microsoft Excel (9780538476768),by,4.00,11,2011,1
SPSS Survival Manual: A Step by Step Guide to Data Analysis using IBM SPSS,Julie Pallant,4.17,12,0,1
Essentials of Behavioral Research: Methods and Data Analysis,Robert Rosenthal,3.58,19,1983,5
"Python for Data Analysis: A Step By Step Guide to Master the Basics of Data Analysis in Python Using Pandas, Numpy And Ipython (Data Science Book 2)",Andrew Park,3.00,6,0,2
"Data Analytics: Practical Data Analysis and Statistical Guide to Transform and Evolve Any Business Leveraging the Power of Data Analytics, Data Science, and Predictive Analytics for Beginners",Isaac D. Cody,2.68,19,0,2
Learning pandas - Python Data Discovery and Analysis Made Easy,Michael Heydt,3.73,26,2015,7
"Transforming Qualitative Data: Description, Analysis, and Interpretation",Harry F. Wolcott,4.00,19,1994,5
Haskell Data Analysis Cookbook,Nishant Shukla,3.57,21,2014,2
